id,question,answer,tags
41,What is an outer join in SQL?,"An OUTER JOIN returns matched rows plus unmatched rows from one or both tables. LEFT OUTER JOIN keeps all left-table rows; RIGHT OUTER JOIN keeps all right-table rows; FULL OUTER JOIN returns all rows from both tables, filling missing matches with NULL.","sql,joins,intermediate"
42,"What is the difference between DELETE, TRUNCATE, and DROP?","DELETE removes specific rows matching a WHERE clause, can be rolled back, and logs row-by-row. TRUNCATE empties the entire table quickly with minimal logging and resets identity counters. DROP completely deletes the table definition and all its data from the database.","sql,ddl,dml"
43,What is a Common Table Expression (CTE) in SQL?,"A CTE is a temporary named result set defined using the WITH clause. It simplifies complex joins and subqueries, improves readability, and can be recursive for hierarchical data like trees or org charts: WITH regional_sales AS (SELECT ... ) SELECT * FROM regional_sales.","sql,advanced"
44,Explain clustered vs non-clustered indexes.,"A clustered index defines the physical order of data on disk (only one per table, usually the primary key). A non-clustered index is a separate structure containing index keys and pointers back to the physical data rows, allowing multiple non-clustered indexes per table.","sql,performance,indexing"
45,What is a composite index and when should you use it?,"A composite index covers multiple columns: CREATE INDEX idx_name ON table(col1, col2). Use it for queries that filter or sort by multiple columns together. Column order matters: place the most selective column or equality-checked column first following the left-prefix rule.","sql,indexing,performance"
46,What is a database deadlock and how do you prevent it?,"A deadlock occurs when two or more transactions each hold a lock the other needs, causing a cycle of waiting. Prevent them by keeping transactions short, accessing tables in a consistent order across the application, using lower isolation levels where acceptable, and setting lock timeouts.","sql,concurrency,transactions"
47,Explain optimistic vs pessimistic locking.,"Pessimistic locking locks the row immediately upon read (SELECT ... FOR UPDATE) to prevent any concurrent changes. Optimistic locking does not lock during read; instead, it checks a version column or timestamp at write time and rejects or retries the transaction if another update occurred.","sql,databases,concurrency"
48,What is a database trigger and what are its pros and cons?,"A trigger is a procedure that automatically executes in response to database events (INSERT, UPDATE, DELETE). Pros: enforces complex integrity rules and audit logging. Cons: hidden side effects, harder to debug, and can degrade performance during bulk operations.","sql,advanced"
49,What is a view and how does it differ from a materialized view?,"A regular view is a saved SQL query that executes on-the-fly whenever queried, storing no physical data. A materialized view pre-computes and physically stores the query results on disk, offering much faster reads for heavy aggregations, but requiring periodic refreshes.","sql,performance"
50,What is the difference between UNION and UNION ALL?,"UNION combines result sets from multiple queries and eliminates duplicate rows using a costly sorting step. UNION ALL combines results without removing duplicates, which is significantly faster. Prefer UNION ALL when duplicates are impossible or acceptable.","sql,basics"
51,How do you check memory usage in Linux?,"Use 'free -h' to see total, used, and available RAM and swap. Use 'vmstat 1 5' for real-time memory and swap activity, or 'cat /proc/meminfo' for detailed statistics. For per-process memory, use 'top' or 'ps aux --sort=-%mem | head -n 10'.","linux,memory,ops"
52,What is the difference between a process and a thread in Linux?,"A process is an isolated execution environment with its own virtual address space, file descriptors, and memory. A thread is a lightweight execution unit within a process that shares the parent process's memory space and resources, enabling faster context switching and inter-thread communication.","linux,os,concurrency"
53,Explain load average in Linux.,"Load average represents the average number of processes in a runnable or uninterruptible sleep (waiting for I/O) state over 1, 5, and 15 minutes. On an N-core CPU system, a load average below N means the system is handling traffic comfortably; above N indicates a queue is forming.","linux,performance,ops"
54,What is the difference between soft link and hard link?,"A hard link is a direct pointer to an existing file inode on the same filesystem; deleting the original file preserves the data as long as the hard link exists. A soft link (symbolic link, ln -s) is a pointer to the file path and can cross filesystems, but breaks if the target file is moved or deleted.","linux,filesystem"
55,How do you troubleshoot high CPU usage in Linux?,"Run 'top' or 'htop' and press 'P' to sort by CPU usage to identify offending PIDs. Use 'pidstat -u 1' to track CPU per process, 'strace -p <PID>' to inspect system calls, and 'perf top' for CPU instruction profiling.","linux,performance,troubleshooting"
56,How do you search for text across files in Linux?,"Use 'grep -rn ""pattern"" /path/to/dir' to search recursively with line numbers. For faster code searches, use 'ripgrep' (rg ""pattern""). Combine with 'find /path -type f -name ""*.log"" | xargs grep ""error""' for specific file extensions.","linux,cli,ops"
57,What are systemd and journalctl?,Systemd is the standard init system and service manager in Linux that bootstraps user space and manages daemons via unit files. Journalctl is the query utility for the systemd journal logs: use 'systemctl status <service>' to check state and 'journalctl -u <service> -f' to stream logs.,"linux,systemd,ops"
58,What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol providing ordering, error-checking, flow control, and retransmission (used in HTTP, SSH, DBs). UDP is connectionless and lightweight with no guaranteed delivery or ordering, ideal for low-latency streaming, VoIP, and DNS.","networking,protocols"
59,How do you test network connectivity to a specific port?,"Use 'nc -zv <host> <port>' (netcat), 'curl -v telnet://<host>:<port>', or 'telnet <host> <port>'. To check open listening ports locally, use 'ss -tulpn' or 'lsof -i :<port>'.","linux,networking,ops"
60,What is a dictionary in Python and how does it work under the hood?,"A Python dictionary is a mutable hash table storing key-value pairs with average O(1) time complexity for lookups, insertions, and deletions. Keys must be hashable. Since Python 3.7, dictionaries maintain insertion order using a compact combination of an index array and an entries table.","python,data-structures,basics"
61,How does memory management and garbage collection work in Python?,"Python uses reference counting as its primary mechanism: an object's memory is deallocated as soon as its reference count reaches zero. To handle cyclic references that reference counting misses, Python includes a cyclic garbage collector using generational collection (Generations 0, 1, and 2).","python,internals,memory"
62,What is the difference between shallow copy and deep copy in Python?,"A shallow copy (copy.copy()) constructs a new container object, but inserts references to the original nested objects. A deep copy (copy.deepcopy()) recursively copies both the container and all nested objects, creating completely independent data structures.","python,basics"
63,What are *args and **kwargs in Python functions?,"*args allows a function to accept any number of positional arguments passed as a tuple. **kwargs allows accepting arbitrary keyword arguments passed as a dictionary: def func(*args, **kwargs): pass. They are commonly used in decorators and subclass constructors.","python,basics,syntax"
64,Explain Python context managers and the 'with' statement.,"Context managers manage setup and teardown actions around a code block using __enter__ and __exit__ methods. The 'with' statement guarantees cleanup (closing files, releasing locks, terminating DB connections) even if exceptions occur. You can create them using the contextlib.contextmanager decorator.","python,advanced,idioms"
65,What is the difference between asyncio and multithreading in Python?,"Asyncio uses cooperative multitasking with a single-threaded event loop and coroutines (async/await), switching tasks at I/O await points without thread switching overhead. Multithreading uses OS threads subject to Python's GIL, switching preemptively. Asyncio handles tens of thousands of concurrent I/O connections efficiently.","python,concurrency,async"
66,What is the difference between __init__ and __new__ in Python?,__new__ is the static constructor that creates and returns a new instance of the class (runs first). __init__ is the initializer that receives the newly created instance (self) to set up attributes. __new__ is overridden for immutable types (like tuple/int) or implementing Singletons.,"python,oop,advanced"
67,What are lambda functions in Python and when should you use them?,"A lambda function is an anonymous inline function defined with 'lambda arguments: expression'. It can take multiple arguments but can only contain a single expression: e.g. sorted(items, key=lambda x: x['age']). Use them for short callback keys in map, filter, or sorted.","python,functional,basics"
68,What is the difference between a container and a virtual machine?,"A Virtual Machine runs a full guest operating system on top of a hypervisor with dedicated virtualized hardware. A container shares the host OS kernel and isolates processes using Linux namespaces and cgroups, making containers lightweight (MBs vs GBs), fast to boot (seconds vs minutes), and highly portable.","cloud,docker,devops"
69,Explain the difference between Docker CMD and ENTRYPOINT.,"ENTRYPOINT sets the default executable that will always run when the container starts. CMD provides default arguments to the ENTRYPOINT, or acts as the default command if ENTRYPOINT is omitted. Arguments passed at docker run override CMD but append to ENTRYPOINT.","cloud,docker,devops"
70,"What is the difference between a Pod, Deployment, and Service in Kubernetes?","A Pod is the smallest deployable unit in K8s containing one or more co-located containers. A Deployment manages Pod replicas, rolling updates, and self-healing. A Service provides a stable networking endpoint (DNS name and IP) that load-balances traffic across dynamic Pod replicas.","cloud,k8s,devops"
71,What is Kubernetes Ingress and how does it work?,"Ingress is an API object that exposes HTTP and HTTPS routes from outside the cluster to internal Services. An Ingress Controller (like NGINX or Traefik) evaluates routing rules based on hostnames (/api or app.com) and paths, providing SSL/TLS termination and path-based routing.","cloud,k8s,networking"
72,What is the CAP theorem in distributed systems?,"The CAP theorem states that a distributed data store can guarantee at most two of three properties: Consistency (every read returns the latest write), Availability (every request receives a non-error response), and Partition Tolerance (system functions despite network network splits). Because networks partition, systems choose CP or AP.","cloud,system-design,architecture"
73,What is Redis and what are common caching patterns?,"Redis is an in-memory key-value data store used for caching, sessions, and pub/sub. Common caching patterns: Cache-Aside (app checks cache, on miss loads from DB and updates cache), Write-Through (writes update cache and DB simultaneously), and Write-Behind (writes update cache first, DB asynchronously).","cloud,caching,databases"
74,What is the difference between horizontal and vertical scaling?,"Vertical scaling (scaling up) means adding more power (CPU, RAM, disk) to an existing single machine; it has a hardware ceiling and single point of failure. Horizontal scaling (scaling out) means adding more machines/nodes behind a load balancer, providing elastic capacity and high availability.","cloud,system-design,architecture"
75,Explain the difference between Git merge and Git rebase.,"Git merge combines branches and creates a new merge commit, preserving the exact historical record of branch development. Git rebase moves or replays branch commits onto the tip of the base branch, creating a clean, linear commit history. Never rebase shared public branches.","git,devops,tools"
76,What is the difference between Git reset and Git revert?,"Git reset moves the HEAD pointer backward, altering history and optionally modifying the staging area and working directory (destructive if used on pushed commits). Git revert creates a new commit that records the exact inverse of a previous commit, safely undoing changes without rewriting history.","git,devops,tools"
77,What is an API Gateway and what does it do?,"An API Gateway acts as the single entry point for client requests in a microservices architecture. It handles cross-cutting concerns: authentication, rate limiting, request routing, SSL termination, caching, and response transformation, shielding internal services from external clients.","cloud,microservices,architecture"
78,How do you implement rate limiting in a web application?,"Common rate-limiting algorithms: Token Bucket (tokens added at fixed rate, bursts allowed), Leaky Bucket (smooth output rate), and Sliding Window Counter (accurate real-time tracking). In production, rate limits are tracked in Redis using atomic operations (INCR and EXPIRE) or via an API Gateway.","cloud,system-design,security"
79,What is database sharding and when should you use it?,"Sharding is horizontal partitioning of a database where rows are distributed across multiple distinct database instances based on a shard key (e.g. user_id hash). Use it when a single database instance exceeds CPU, memory, or disk write capacity. Trade-offs include cross-shard joins and distributed transactions.","databases,scaling,architecture"
80,What is message queuing and when should you use RabbitMQ vs Kafka?,"Message queues decouple producers and consumers for asynchronous processing. Use RabbitMQ for complex routing, task queues, and transactional delivery guarantees. Use Apache Kafka for high-throughput distributed event streaming, log aggregation, and replaying historical events from durable partitions.","cloud,system-design,messaging"
